l = 20,N = 30,G = 50,Pm = 0.033,Pc = 0

Average Fitness,Best Fitness,Correct Bits
Run 1
1.010184048633937e-05,1.010184048633937e-05,9
4.715078709539905e-05,4.7150787095399065e-05,9
5.804906603101055e-06,5.804906603101054e-06,10
3.1603530975902794e-10,3.160353097590281e-10,9
3.0816383981857274e-05,3.081638398185726e-05,13
3.804742369360909e-08,3.8047423693609084e-08,13
0.0361379440438214,0.036137944043821375,12
0.09225601633217402,0.09225601633217397,10
0.0262803773356873,0.026280377335687298,9
0.7582549219498137,0.758254921949814,10
0.3832324095669672,0.38323240956696736,9
3.418039882478156e-08,3.4180398824781544e-08,7
2.5996192718283717e-06,2.599619271828371e-06,9
0.00045180793201887205,0.00045180793201887205,10
0.07450338817816694,0.07450338817816694,9
0.005588754642191802,0.0055887546421918045,12
0.051127037665110224,0.051127037665110224,7
0.0013502136924062812,0.0013502136924062815,8
1.000479138206247e-06,1.000479138206247e-06,9
0.1073181315710481,0.10731813157104811,6
3.2624656488020515e-09,3.2624656488020535e-09,5
1.570585803683805e-17,1.5705858036838043e-17,12
8.739679025562436e-07,8.739679025562439e-07,12
0.0006476724253263545,0.0006476724253263543,15
0.9756471959673234,0.9756471959673239,7
0.39867086715143835,0.39867086715143846,12
0.45383033217050267,0.45383033217050284,9
2.7986705654519427e-06,2.7986705654519415e-06,10
3.2578301228415074e-05,3.257830122841509e-05,11
0.00013954510340968265,0.00013954510340968262,7
5.052812923102612e-15,5.0528129231026124e-15,5
1.4207448590224441e-08,1.4207448590224441e-08,10
3.9849406130132516e-08,3.9849406130132516e-08,14
0.06887757523844763,0.06887757523844767,11
0.018281138126901127,0.018281138126901124,8
9.608435572594145e-06,9.608435572594154e-06,11
1.1976257155170395e-05,1.1976257155170402e-05,10
0.004427296116494336,0.004427296116494334,11
0.00564993647698689,0.005649936476986892,6

Run 5
0.087215639336349,0.5814966969520259,10
0.1953060828817845,0.42463204100247626,11
0.20189324286864624,0.7351455410118591,14
0.39371392316784337,0.7653470798323737,10
0.08159759417681729,0.22325200788480434,10
0.29214993688690377,0.8735609720239681,10
0.001659479466468145,0.0016594794664681444,8
0.07688798000844303,0.07688798000844307,10
0.011161015804467987,0.011161015804467982,9
1.5092198745945842e-08,1.5092198745945836e-08,9
1.519535401769928e-08,1.519535401769927e-08,10
0.007202498428326229,0.007202498428326225,7
9.09575962776507e-06,9.095759627765063e-06,11
0.11832345067041038,0.11832345067041032,10
0.10737059845383258,0.10737059845383252,6
0.001840848108220577,0.001840848108220576,9
0.011560754813702447,0.011560754813702447,12
0.005415206504746029,0.005415206504746032,11
0.35607701629528477,0.3560770162952848,9
6.130930854000068e-08,6.130930854000067e-08,11
0.013581449719738351,0.013581449719738356,7
4.393874186461997e-06,4.393874186461998e-06,8
0.02518807969543887,0.02518807969543885,8
3.290802895370254e-07,3.290802895370253e-07,14
0.04498605324862452,0.044986053248624515,9
2.5520422919441537e-13,2.5520422919441527e-13,10
1.774634143069841e-16,1.7746341430698415e-16,13
0.5008592360034215,0.5008592360034215,8
0.1942908312030077,0.19429083120300777,8
9.677635814804533e-05,9.677635814804536e-05,14
0.9749198978219197,0.9749198978219195,10
0.0030160237901585463,0.0030160237901585463,11
0.043679550209040345,0.04367955020904034,10
0.23391523561994543,0.23391523561994543,8
7.029296753281971e-06,7.029296753281971e-06,11
0.17172877961564312,0.17172877961564317,10
0.0017442140792034012,0.0017442140792034006,11
0.09693180891971225,0.09693180891971231,10
0.0006727073009592104,0.0006727073009592104,12
0.00012759391927499769,0.00012759391927499763,10
0.0956922173100369,0.09569221731003694,12
0.0002900383100907391,0.0002900383100907393,9
1.7638482478547757e-16,1.7638482478547755e-16,8
0.00456546553045732,0.004565465530457319,6
0.0054792484998580256,0.005479248499858025,10
0.09928015102295575,0.09928015102295577,8
6.189296112359518e-06,6.189296112359518e-06,10
0.16791752178575872,0.16791752178575878,8
2.5285240993712656e-10,2.5285240993712656e-10,9
0.003493286479586248,0.003493286479586249,10

Run 6
0.047312469659980136,0.8217323792678083,8
0.4168330683596499,0.7890458139969325,10
0.7614802221095193,0.809318048332851,14
0.006206368789825391,0.00799976512022981,8
0.003966875736525404,0.003966875736525402,6
